"","regions","regional_pops2b"
"1","Autonomous Region in Muslim Mindanao (ARMM)",3781387
"2","Cordillera Administrative Region",1722006
"3","National Capital Region",12877253
"4","Negros Island Region (NIR)",4414131
"5","Region I - Ilocos ",5026128
"6","Region II - Cagayan Valley",3451410
"7","Region III - Central Luzon ",11218177
"8","Region IV-A - Calabarzon",14414774
"9","Region IV-B - Mimaropa",2963360
"10","Region IX - Zamboanga Peninsula",3629783
"11","Region V - Bicol",5796989
"12","Region VI - Western Visayas",4477247
"13","Region VII - Central Visayas",6041903
"14","Region VIII - Eastern Visayas",4440150
"15","Region X - Northern Mindanao",4689302
"16","Region XI - Davao ",4893318
"17","Region XII - Soccsksargen",4545276
"18","Region XIII - Caraga",6378096
